Age,Salary,Status
18,82000,0
29,80000,0
47,25000,1
45,26000,1
46,28000,1
48,29000,1
45,22000,1
47,49000,1
48,41000,1
45,22000,1
46,23000,1
47,20000,1
49,28000,1
47,30000,1
29,43000,0
31,18000,0
31,74000,0
27,137000,1
21,16000,0
43,45000,1
39,59000,0
46,41000,1
51,23000,1
50,20000,1
36,33000,0
49,36000,1
19,19000,0
35,20000,0
26,43000,0
27,57000,0
19,76000,0
27,58000,0
27,84000,0
32,150000,1
25,33000,0
35,65000,0
26,80000,0
26,52000,0
20,86000,0
32,18000,0
44,139000,1
49,28000,1
57,33000,1
56,60000,1
49,39000,1
39,71000,0
47,34000,1
48,35000,1
48,33000,1
47,23000,1
45,45000,1
60,42000,1
28,44000,0
27,90000,0
35,27000,0
33,28000,0
